,experiment,kernel,disk_name,param0,param1,param2,param3,host time,result,final_tick,host_inst_rate,host_mem_usage,host_op_rate,host_seconds,host_tick_rate,sim_freq,sim_insts,sim_ops,sim_seconds,sim_ticks,param4,param5
0,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,kvm,MESI_Two_Level,4,systemd,50.05113339424133,Success,18255394210123.0,270006643.0,3926640.0,270002997.0,12.91,1413611542113.0,1000000000000.0,3486815699.0,3486815699.0,18.255394,18255394210123.0,,
1,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,simple,MESI_Two_Level,4,systemd,14379.413790225983,Success,3758096189953.0,193465.0,12569504.0,406493.0,14346.04,261960457.0,1000000000000.0,2775457125.0,5831568635.0,3.758096,3758096189953.0,,
2,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,kvm,classic,1,systemd,15.025431632995605,Success,12717775479349.0,283756876.0,3376556.0,283749765.0,8.93,1424017155495.0,1000000000000.0,2534133671.0,2534133671.0,12.717775,12717775479349.0,,
3,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,freqmine,simlarge,2,60.05528163909912,Success,28881721991710.0,3525073096.0,3892924.0,3525015282.0,10.04,871581073112.0,1000000000000.0,35379882048.0,35379882048.0,8.747912,8747911939725.0,,
4,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,atomic,MESI_Two_Level,1,init,25.032986164093018,Unknown failed,,,,,,,,,,,,,
5,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,simple,MI_example,2,systemd,16045.905915021896,Success,9315419207050.0,159123.0,13144084.0,339260.0,16037.14,580865213.0,1000000000000.0,2551883367.0,5440766098.0,9.315419,9315419207050.0,,
6,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,o3,classic,4,init,36008.11604833603,timeout,,,,,,,,,,,,,
7,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,streamcluster,simlarge,1,50.04494071006775,Success,25563277877257.0,1990134120.0,3869224.0,1990104402.0,11.58,869169291982.0,1000000000000.0,23044013956.0,23044013956.0,10.064406,10064406031488.0,,
8,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,atomic,classic,4,systemd,4139.2014083862305,Success,2937283971471.0,692111.0,12081360.0,1445893.0,4133.2,710656869.0,1000000000000.0,2860630395.0,5976157284.0,2.937284,2937283971471.0,,
9,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,raytrace,native,8,605.5159826278687,Success,362793139706665.0,2702918446.0,4548168.0,2702916412.0,371.44,684149731649.0,1000000000000.0,1003968953853.0,1003968953853.0,254.120023,254120023248021.0,,
10,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,kvm,MI_example,2,init,10.013466835021973,Success,3534357146293.0,451630532.0,4006296.0,451580447.0,2.03,1743786061533.0,1000000000000.0,915258181.0,915258181.0,3.534357,3534357146293.0,,
11,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,simple,MI_example,8,systemd,18844.93000984192,Success,7951397488489.0,154357.0,15888224.0,324746.0,18824.77,422390047.0,1000000000000.0,2905738506.0,6113270745.0,7.951397,7951397488489.0,,
12,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,atomic,classic,4,init,1176.2124047279358,Success,1830358604538.0,753136.0,4009744.0,1756529.0,1170.53,1563700940.0,1000000000000.0,881568253.0,2056069623.0,1.830359,1830358604538.0,,
13,boot experiments with gem5-20.1,vmlinux-4.19.83,boot-exit,atomic,MESI_Two_Level,8,systemd,65.07232928276062,Unknown failed,,,,,,,,,,,,,
14,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,atomic,MI_example,2,init,5.0108208656311035,Unknown failed,,,,,,,,,,,,,
15,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,simple,classic,4,init,36005.57525062561,timeout,,,,,,,,,,,,,
16,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,o3,MI_example,8,systemd,36008.255120038986,timeout,,,,,,,,,,,,,
17,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,kvm,classic,1,init,5.011314868927002,Success,2856525488794.0,419102411.0,3392336.0,419058753.0,2.04,1400264954920.0,1000000000000.0,854858390.0,854858390.0,2.856525,2856525488794.0,,
18,boot experiments with gem5-20.1,vmlinux-4.14.134,boot-exit,o3,MI_example,2,systemd,3708.9457762241364,kernel panic,,,,,,,,,,,,,
19,npb with gem5-20.1,vmlinux-4.19.83,npb,timing,MESI_Two_Level,is.A.x,1,14262.318249225616,Success,18609432643631.0,487650.0,4131552.0,596215.0,14234.05,262086537.0,1000000000000.0,6941231750.0,8486549516.0,3.730553,3730553199181.0,,
20,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,kvm,MESI_Two_Level,1,systemd,30.03116202354431,Success,12657815048134.0,363538516.0,3872812.0,363528715.0,7.8,1622043456061.0,1000000000000.0,2836831514.0,2836831514.0,12.657815,12657815048134.0,,
21,npb with gem5-20.1,vmlinux-4.19.83,npb,kvm,MESI_Two_Level,ep.A.x,64,1986.7969224452972,Success,34827240210688.0,11201021129.0,6100032.0,11200542138.0,6.54,63307180803.0,1000000000000.0,73230128925.0,73230128925.0,0.41391,413910193815.0,,
22,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,timing,dedup,simsmall,2,12100.343810081482,Success,21913540306553.0,495232.0,4250300.0,588813.0,12047.77,177443457.0,1000000000000.0,5966435147.0,7093886643.0,2.137797,2137797070993.0,,
