,experiment,kernel,disk_name,cpu_model,ncpus,mem_sys,boot_type,workload,input_size,host time,result,final_tick,host_inst_rate,host_mem_usage,host_op_rate,host_seconds,host_tick_rate,sim_freq,sim_insts,sim_ops,sim_seconds,sim_ticks,numCycles,numFpInsts,numIntInsts,numLoadInsts,numStoreInsts,numMemRefs,numIntAlu,numFpAlu,numSimdAlu,numSimdCrypto,avgRdQLen
0,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,kvm,4,MESI_Two_Level,systemd,n/a,n/a,50.05113339424133,Success,18255394210123.0,270006643.0,3926640.0,270002997.0,12.91,1413611542113.0,1000000000000.0,3486815699.0,3486815699.0,18.255394,18255394210123.0,207181322872,0,0,0,0,0,0,0,0,0,0.0
1,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,simple,4,MESI_Two_Level,systemd,n/a,n/a,14379.413790225983,Success,3758096189953.0,193465.0,12569504.0,406493.0,14346.04,261960457.0,1000000000000.0,2775457125.0,5831568635.0,3.758096,3758096189953.0,45138197139,76054381,5588001987,676923822,455843298,1132767120,4516872933,2110495,44566360,0,1.02
2,boot experiments with gem5-20.1,vmlinux-4.9.186,boot-exit,kvm,1,classic,systemd,n/a,n/a,15.025431632995605,Success,12717775479349.0,283756876.0,3376556.0,283749765.0,8.93,1424017155495.0,1000000000000.0,2534133671.0,2534133671.0,12.717775,12717775479349.0,32334909690,0,0,0,0,0,0,0,0,0,0.0
3,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,2,MESI_Two_Level,systemd,freqmine,simlarge,60.05528163909912,Success,28881721991710.0,3525073096.0,3892924.0,3525015282.0,10.04,871581073112.0,1000000000000.0,35379882048.0,35379882048.0,8.747912,8747911939725.0,85227484233,0,0,0,0,0,0,0,0,0,0.0
4,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,atomic,1,MESI_Two_Level,init,n/a,n/a,25.032986164093018,Unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
5,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,simple,2,MI_example,systemd,n/a,n/a,16045.905915021896,Success,9315419207050.0,159123.0,13144084.0,339260.0,16037.14,580865213.0,1000000000000.0,2551883367.0,5440766098.0,9.315419,9315419207050.0,55946270572,74818042,5193692971,651536442,429086051,1080622493,4175220137,2132648,43630402,0,1.2
6,boot experiments with gem5-20.1,vmlinux-4.4.186,boot-exit,o3,4,classic,init,n/a,n/a,36008.11604833603,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
7,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,1,MESI_Two_Level,systemd,streamcluster,simlarge,50.04494071006775,Success,25563277877257.0,1990134120.0,3869224.0,1990104402.0,11.58,869169291982.0,1000000000000.0,23044013956.0,23044013956.0,10.064406,10064406031488.0,38892432525,0,0,0,0,0,0,0,0,0,0.0
8,boot experiments with gem5-20.1,vmlinux-5.4.49,boot-exit,atomic,4,classic,systemd,n/a,n/a,4139.2014083862305,Success,2937283971471.0,692111.0,12081360.0,1445893.0,4133.2,710656869.0,1000000000000.0,2860630395.0,5976157284.0,2.937284,2937283971471.0,35289359479,74961738,5711475360,681830412,454496614,1136327026,4658688964,2115127,43784076,0,0.0
9,parsec Ruby memory tests (MESI_Two_Level) with gem5-20.1,vmlinux-4.19.83,parsec,kvm,8,MESI_Two_Level,systemd,raytrace,native,605.5159826278687,Success,362793139706665.0,2702918446.0,4548168.0,2702916412.0,371.44,684149731649.0,1000000000000.0,1003968953853.0,1003968953853.0,254.120023,254120023248021.0,5956113560632,0,0,0,0,0,0,0,0,0,0.0
