index,Experiment Name,Kernel Version,CPU Model,Num. of CPUs,Memory System,Boot Type,Workload,Input Size,Host Time,Sim. Status Result,Final Tick,Host Instruction Rate,Host Memory Usage,Host Opcode Rate,Host Second,Host Tick Rate,Simulation Frequency,Simulated Instructions,Simulated Opcodes,Simulated Seconds,Simulated Ticks,Number of Cycles,Number of Floating Point Instructions,Number of Integer Instructions,Number of Load Instructions,Number of Store Instructions,Number of Memory References,Number of Integer ALU,Number of FP ALU,Number of SIMD ALU,Number of SIMD Crypto,Total Cache Miss Rate,Avg Read Queue Length
0,Linux Tests,vmlinux-5.4.49,KVM,4,MESI,Systemd,boot.Linux,test,50.05113339,success,1.82554E+13,270006643,3926640,270002997,12.91,1.41361E+12,1E+12,3486815699,3486815699,18.255394,1.82554E+13,2.07181E+11,0,0,0,0,0,0,0,0,0,0,0
1,Linux Tests,vmlinux-5.4.49,TimingSimpleCPU,4,MESI,Systemd,boot.Linux,test,14379.41379,success,3.7581E+12,193465,12569504,406493,14346.04,261960457,1E+12,2775457125,5831568635,3.758096,3.7581E+12,45138197139,76054381,5588001987,676923822,455843298,1132767120,4516872933,2110495,44566360,0,54867132,1.02
2,Linux Tests,vmlinux-4.9.186,KVM,1,Classic,Systemd,boot.Linux,test,15.02543163,success,1.27178E+13,283756876,3376556,283749765,8.93,1.42402E+12,1E+12,2534133671,2534133671,12.717775,1.27178E+13,32334909690,0,0,0,0,0,0,0,0,0,0,0
3,PARSEC Experiments,vmlinux-4.19.83,KVM,2,MESI,Systemd,parsec.freqmine,simlarge,60.05528164,success,2.88817E+13,3525073096,3892924,3525015282,10.04,8.71581E+11,1E+12,35379882048,35379882048,8.747912,8.74791E+12,85227484233,0,0,0,0,0,0,0,0,0,0,0
4,Linux Tests,vmlinux-4.4.186,AtomicCPU,1,MESI,Init,boot.Linux,test,25.03298616,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
5,Linux Tests,vmlinux-4.4.186,TimingSimpleCPU,2,MI,Systemd,boot.Linux,test,16045.90592,success,9.31542E+12,159123,13144084,339260,16037.14,580865213,1E+12,2551883367,5440766098,9.315419,9.31542E+12,55946270572,74818042,5193692971,651536442,429086051,1080622493,4175220137,2132648,43630402,0,138882499,1.2
6,Linux Tests,vmlinux-4.4.186,DerivO3CPU,4,Classic,Init,boot.Linux,test,36008.11605,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
7,PARSEC Experiments,vmlinux-4.19.83,KVM,1,MESI,Systemd,parsec.streamcluster,simlarge,50.04494071,success,2.55633E+13,1990134120,3869224,1990104402,11.58,8.69169E+11,1E+12,23044013956,23044013956,10.064406,1.00644E+13,38892432525,0,0,0,0,0,0,0,0,0,0,0
8,Linux Tests,vmlinux-5.4.49,AtomicCPU,4,Classic,Systemd,boot.Linux,test,4139.201408,success,2.93728E+12,692111,12081360,1445893,4133.2,710656869,1E+12,2860630395,5976157284,2.937284,2.93728E+12,35289359479,74961738,5711475360,681830412,454496614,1136327026,4658688964,2115127,43784076,0,155143644,0
9,PARSEC Experiments,vmlinux-4.19.83,KVM,8,MESI,Systemd,parsec.raytrace,native,605.5159826,success,3.62793E+14,2702918446,4548168,2702916412,371.44,6.8415E+11,1E+12,1.00397E+12,1.00397E+12,254.120023,2.5412E+14,5.95611E+12,0,0,0,0,0,0,0,0,0,0,0
10,Linux Tests,vmlinux-4.4.186,KVM,2,MI,Init,boot.Linux,test,10.01346684,success,3.53436E+12,451630532,4006296,451580447,2.03,1.74379E+12,1E+12,915258181,915258181,3.534357,3.53436E+12,19718031402,0,0,0,0,0,0,0,0,0,0,0
11,Linux Tests,vmlinux-4.4.186,TimingSimpleCPU,8,MI,Systemd,boot.Linux,test,18844.93001,success,7.9514E+12,154357,15888224,324746,18824.77,422390047,1E+12,2905738506,6113270745,7.951397,7.9514E+12,1.91015E+11,76152737,5797613122,712038708,456100956,1168139664,4749345700,2111432,44557052,0,165787762,1.57
12,Linux Tests,vmlinux-4.14.134,AtomicCPU,4,Classic,Init,boot.Linux,test,1176.212405,success,1.83036E+12,753136,4009744,1756529,1170.53,1563700940,1E+12,881568253,2056069623,1.830359,1.83036E+12,21986704523,21944,1871453673,174692154,129480712,304172866,1660628757,1297,11529,0,17358140,0
13,Linux Tests,vmlinux-4.19.83,AtomicCPU,8,MESI,Systemd,boot.Linux,test,65.07232928,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
14,Linux Tests,vmlinux-4.4.186,AtomicCPU,2,MI,Init,boot.Linux,test,5.010820866,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
15,Linux Tests,vmlinux-4.4.186,TimingSimpleCPU,4,Classic,Init,boot.Linux,test,36005.57525,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
16,Linux Tests,vmlinux-5.4.49,DerivO3CPU,8,MI,Systemd,boot.Linux,test,36008.25512,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
17,Linux Tests,vmlinux-4.14.134,KVM,1,Classic,Init,boot.Linux,test,5.011314869,success,2.85653E+12,419102411,3392336,419058753,2.04,1.40026E+12,1E+12,854858390,854858390,2.856525,2.85653E+12,7035093583,0,0,0,0,0,0,0,0,0,0,0
18,Linux Tests,vmlinux-4.14.134,DerivO3CPU,2,MI,Systemd,boot.Linux,test,3708.945776,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
19,NPB Experiments,vmlinux-4.19.83,TimingSimpleCPU,1,MESI,Systemd,npb.is.A.x,n/a,14262.31825,success,1.86094E+13,487650,4131552,596215,14234.05,262086537,1E+12,6941231750,8486549516,3.730553,3.73055E+12,11202862449,2797253,3761574149,595522665,345401328,940923993,2820592547,10475,72104,0,43010819,1
20,Linux Tests,vmlinux-5.4.49,KVM,1,MESI,Systemd,boot.Linux,test,30.03116202,success,1.26578E+13,363538516,3872812,363528715,7.8,1.62204E+12,1E+12,2836831514,2836831514,12.657815,1.26578E+13,33003277241,0,0,0,0,0,0,0,0,0,0,0
21,NPB Experiments,vmlinux-4.19.83,KVM,64,MESI,Systemd,npb.ep.A.x,n/a,1986.796922,success,3.48272E+13,11201021129,6100032,11200542138,6.54,63307180803,1E+12,73230128925,73230128925,0.41391,4.1391E+11,72788803297,0,0,0,0,0,0,0,0,0,0,0
22,PARSEC Experiments,vmlinux-4.19.83,TimingSimpleCPU,2,MESI,Systemd,parsec.dedup,simsmall,12100.34381,success,2.19135E+13,495232,4250300,588813,12047.77,177443457,1E+12,5966435147,7093886643,2.137797,2.1378E+12,12829880211,35829961,3120453905,594992059,319176661,914168720,2209499204,626043,1284104,0,7980818,1
23,Linux Tests,vmlinux-4.14.134,KVM,2,MESI,Systemd,boot.Linux,test,40.04025459,success,1.43706E+13,268530646,3885788,268526882,11.28,1.27352E+12,1E+12,3030073143,3030073143,14.370554,1.43706E+13,77885178774,0,0,0,0,0,0,0,0,0,0,0
24,Linux Tests,vmlinux-4.9.186,AtomicCPU,4,MESI,Init,boot.Linux,test,30.03317022,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
25,Linux Tests,vmlinux-5.4.49,KVM,2,MESI,Systemd,boot.Linux,test,35.03303981,success,1.65954E+13,284497568,3892368,284492711,10.74,1.54511E+12,1E+12,3055615577,3055615577,16.595407,1.65954E+13,91476287718,0,0,0,0,0,0,0,0,0,0,0
26,NPB Experiments,vmlinux-4.19.83,KVM,16,MESI,Systemd,npb.mg.A.x,n/a,255.2791905,success,2.15338E+13,2945980997,4196364,2945878638,6.48,1.62618E+11,1E+12,19100242379,19100242379,1.054373,1.05437E+12,42715764944,0,0,0,0,0,0,0,0,0,0,0
27,Linux Tests,vmlinux-4.19.83,DerivO3CPU,2,MESI,Systemd,boot.Linux,test,36009.33668,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
28,PARSEC Experiments,vmlinux-4.19.83,KVM,1,MESI,Systemd,parsec.blackscholes,simsmall,45.03990674,success,1.53415E+13,37043852559,3868196,36965663295,0.1,4.56842E+11,1E+12,3800382066,3800382066,0.046981,46980551754,15542497142,0,0,0,0,0,0,0,0,0,0,0
29,Linux Tests,vmlinux-4.19.83,AtomicCPU,8,MI,Systemd,boot.Linux,test,20.03234982,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
30,Linux Tests,vmlinux-5.4.49,AtomicCPU,1,MESI,Systemd,boot.Linux,test,25.02602911,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
31,Linux Tests,vmlinux-4.9.186,TimingSimpleCPU,8,MESI,Init,boot.Linux,test,3393.431683,success,1.98706E+12,207587,4889512,528320,3344.91,594055682,1E+12,694361768,1767183336,1.987065,1.98706E+12,47727722345,21888,1567752889,118381661,113429542,231811203,1440427472,1265,11537,0,7878165,1
32,Linux Tests,vmlinux-4.4.186,AtomicCPU,2,Classic,Init,boot.Linux,test,921.0146658,success,1.69838E+12,786293,3856372,1740593,915.85,1854430836,1E+12,720125437,1594120319,1.698379,1.69838E+12,10200690005,21369,1472864350,141142241,81072185,222214426,1326313578,1105,11529,0,15834144,0
33,PARSEC Experiments,vmlinux-4.19.83,KVM,8,MESI,Systemd,parsec.raytrace,simsmall,110.1007454,success,2.76231E+13,47442804527,4010372,47425871475,0.53,5.82894E+11,1E+12,25087213759,25087213759,0.308358,3.08358E+11,1.79197E+11,0,0,0,0,0,0,0,0,0,0,0
34,Linux Tests,vmlinux-4.9.186,TimingSimpleCPU,8,MI,Init,boot.Linux,test,3238.208492,success,2.12967E+12,216231,5445100,550099,3216.34,662140166,1E+12,695473858,1769306575,2.129669,2.12967E+12,51152820109,21841,1570014356,119227155,114000562,233227717,1441006698,1257,11529,0,10765268,1.05
35,PARSEC Experiments,vmlinux-4.19.83,KVM,1,MESI,Systemd,parsec.x264,simsmall,40.04057956,success,1.6392E+13,11973893996,3869988,11967494811,0.37,7.6879E+11,1E+12,4412333922,4412333922,0.28347,2.8347E+11,16553431197,0,0,0,0,0,0,0,0,0,0,0
36,NPB Experiments,vmlinux-4.19.83,KVM,1,MESI,Systemd,npb.lu.A.x,n/a,70.07159543,success,5.03131E+13,4588892307,3876836,4588873879,42.23,9.00618E+11,1E+12,1.93799E+11,1.93799E+11,38.035222,3.80352E+13,89018196418,0,0,0,0,0,0,0,0,0,0,0
37,Linux Tests,vmlinux-4.19.83,TimingSimpleCPU,2,MESI,Init,boot.Linux,test,3152.968903,success,1.98657E+12,217095,4459420,485728,3125.58,635586769,1E+12,678545453,1518178376,1.986574,1.98657E+12,11931095677,21472,1417676337,137546996,95056726,232603722,1228319027,1137,11537,0,6096692,1
38,NPB Experiments,vmlinux-4.19.83,TimingSimpleCPU,64,MESI,Systemd,npb.mg.A.x,n/a,151164.9694,success,3.00304E+13,272183,8522816,323309,149239.74,9202989,1E+12,40620457763,48250572329,1.373452,1.37345E+12,2.63761E+11,9345579294,10915817718,4152992451,888881915,5041874366,6731114745,4242326539,4154617010,0,372436835,31.04
39,Linux Tests,vmlinux-4.4.186,KVM,4,Classic,Init,boot.Linux,test,10.01373935,success,3.75846E+12,505196542,3466100,505153637,2.56,1.46667E+12,1E+12,1294479362,1294479362,3.758464,3.75846E+12,42882171977,0,0,0,0,0,0,0,0,0,0,0
40,Linux Tests,vmlinux-4.9.186,AtomicCPU,1,Classic,Systemd,boot.Linux,test,3478.787373,success,3.22553E+12,652339,9957440,1454306,3473.08,928722863,1E+12,2265625167,5050918890,3.225527,3.22553E+12,9686664607,74760938,4762405026,568211577,431289234,999500811,3830150181,2132663,43648860,0,147484282,0
41,PARSEC Experiments,vmlinux-4.19.83,KVM,2,MESI,Systemd,parsec.streamcluster,simlarge,60.05231714,success,2.95734E+13,1820776365,3892928,1820749952,12.79,8.4982E+11,1E+12,23288879072,23288879072,10.869926,1.08699E+13,98773623224,0,0,0,0,0,0,0,0,0,0,0
42,Linux Tests,vmlinux-4.4.186,DerivO3CPU,4,MI,Systemd,boot.Linux,test,26954.16572,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
43,Linux Tests,vmlinux-4.14.134,TimingSimpleCPU,2,Classic,Init,boot.Linux,test,36006.17738,timeout,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
44,Linux Tests,vmlinux-4.4.186,DerivO3CPU,2,MESI,Systemd,boot.Linux,test,20091.9581,kernel panic,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
45,Linux Tests,vmlinux-4.9.186,AtomicCPU,2,MI,Systemd,boot.Linux,test,10.01833868,unknown failed,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
